,User,Pesan,Jam,Tanggal
134,Aho Lie,Mksd iptv serg ikut w ?,1:50:21 PM,"Tuesday, March 23, 2021"
135,Benanta,Cash & cash w naik pelan2,1:49:28 PM,"Tuesday, March 23, 2021"
136,Aho Lie,Klo gak salah bbni blm bagi deviden klo bagi hrsnya ke 6500 ssmpi 6700:pray::pray:,1:49:19 PM,"Tuesday, March 23, 2021"
137,Aho Lie,Saya dulu serg saham lq 45 termsk bank bbri bmri:pray::pray:,1:47:23 PM,"Tuesday, March 23, 2021"
138,Aho Lie,Gak tar jg balik lg beda ama cum r yg anjlok krn harga teoritis klo deviden turun kecil gak lama balik lh,1:45:12 PM,"Tuesday, March 23, 2021"
139,𝖋𝖗𝖎𝖊𝖓𝖉𝖞 𝖆𝖏𝖎,BBCA 33K,1:44:54 PM,"Tuesday, March 23, 2021"
140,Chai Lie,"Oh, klo bank biasanya sehabis cumdate bisa anjlok gak ?",1:43:36 PM,"Tuesday, March 23, 2021"
141,Aho Lie,Beli diberp klo bbri gak usah takut:pray::pray:,1:43:33 PM,"Tuesday, March 23, 2021"
142,Andre Salim,tembok berlin BBCA 33k,1:43:15 PM,"Tuesday, March 23, 2021"
143,Aho Lie,Klo saham bank biasanya ikut ihsg finance merah:+1::pray::pray:,1:42:31 PM,"Tuesday, March 23, 2021"
144,Obama,Saham iptv nge prank ritel,1:41:13 PM,"Tuesday, March 23, 2021"
145,Chai Lie,"Bmri hari ini cumdate tapi harganya gak gerak2, disitu2 aja, knp ya?",1:40:33 PM,"Tuesday, March 23, 2021"
146,Aprilio Perkasa Manganang,Ara mpow,1:38:27 PM,"Tuesday, March 23, 2021"
147,Puspita Wardani,"Cakep amat gk pakek rem, gass poll",1:37:37 PM,"Tuesday, March 23, 2021"
148,Aho Lie,Yg msu naik kereta cent:pray::pray:,1:32:25 PM,"Tuesday, March 23, 2021"
149,Aprilio Perkasa Manganang,Mpow:rocket::rocket::rocket::rocket::rocket::rocket:,1:31:25 PM,"Tuesday, March 23, 2021"
150,Bambang Sudarso,Makanan siang MPOW :rocket::grin:,1:26:42 PM,"Tuesday, March 23, 2021"
151,bryan,Hallo Google. Apakah ihsg kembali rebound?,1:17:26 PM,"Tuesday, March 23, 2021"
152,Romi Prayudi,smg bumn karya lainnya sama ya pak. sy adanya PTPP soalnya :joy::joy:,1:13:52 PM,"Tuesday, March 23, 2021"
153,Denny Wang,Tq pak Jutha..  ak nyangkut wskt dari mid januari 1900an,1:13:29 PM,"Tuesday, March 23, 2021"
154,Lukas Santoso,ok pak...berarti siap2 FOMO ini awal2 April...mksh:pray::grinning:,1:01:39 PM,"Tuesday, March 23, 2021"
155,Pooka Chu,Teman2 mohon maaf apakah disini ada yg kerja di Shopee atau ada yg punya kenalan di Shopee ?,12:50:33 PM,"Tuesday, March 23, 2021"
156,farizal,"pak @JuthaBram ada insight mengenai kondisi IHSG saat ini? bbrapa minggu k blakang ini seringnya koreksi.

Apa lbih baik full cash untuk saat ini?",12:43:35 PM,"Tuesday, March 23, 2021"
157,Denny Wang,"Wskt gimana pak jutha?  Skrg 1390. Nyangkut parah

@JuthaBram",12:40:05 PM,"Tuesday, March 23, 2021"
